"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"AFG","Afghanistan","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Cefotaxime",28,12,8,66.6666666666667
"AFG","Afghanistan","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ceftazidime",28,14,3,21.4285714285714
"AFG","Afghanistan","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ceftriaxone",28,27,19,70.3703703703704
"AFG","Afghanistan","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Trimethoprim/sulfamethoxazole",28,16,11,68.75
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Acinetobacter","Amikacin",1982,29,6,20.6896551724138
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Acinetobacter","Colistin",1982,24,2,8.33333333333333
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Acinetobacter","Gentamicin",1982,67,27,40.2985074626866
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Acinetobacter","Imipenem",1982,65,29,44.6153846153846
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Acinetobacter","Meropenem",1982,68,29,42.6470588235294
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Acinetobacter","Minocycline",1982,35,7,20
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ampicillin",1982,623,477,76.5650080256822
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Cefepime",1982,457,98,21.4442013129103
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Cefotaxime",1982,532,254,47.7443609022556
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ceftazidime",1982,633,201,31.7535545023697
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ceftriaxone",1982,136,71,52.2058823529412
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",1982,628,304,48.4076433121019
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Colistin",1982,31,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ertapenem",1982,357,11,3.0812324929972
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Imipenem",1982,620,9,1.45161290322581
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Levofloxacin",1982,31,9,29.0322580645161
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Meropenem",1982,639,10,1.56494522691706
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Tinidazole",1982,136,71,52.2058823529412
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Trimethoprim/sulfamethoxazole",1982,634,342,53.9432176656151
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Cefepime",1982,353,81,22.9461756373938
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Cefotaxime",1982,396,125,31.5656565656566
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1982,495,140,28.2828282828283
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",1982,119,57,47.8991596638655
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1982,486,116,23.8683127572016
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ertapenem",1982,259,29,11.1969111969112
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",1982,476,47,9.87394957983193
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Levofloxacin",1982,32,13,40.625
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Meropenem",1982,495,63,12.7272727272727
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",1982,496,162,32.6612903225806
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Cefotaxime",1982,59,1,1.69491525423729
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Ceftazidime",1982,67,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Ceftriaxone",1982,40,1,2.5
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Ciprofloxacin",1982,69,26,37.6811594202899
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Ertapenem",1982,41,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Imipenem",1982,66,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Levofloxacin",1982,14,9,64.2857142857143
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella","Meropenem",1982,71,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Staphylococcus aureus","Meticillin",1982,364,124,34.0659340659341
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Streptococcus pneumoniae","Benzylpenicillin",1982,66,20,30.3030303030303
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Streptococcus pneumoniae","Cefotaxime",1982,29,1,3.44827586206897
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Streptococcus pneumoniae","Ceftriaxone",1982,80,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Streptococcus pneumoniae","Trimethoprim/sulfamethoxazole",1982,59,12,20.3389830508475
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Cefotaxime",653,278,11,3.9568345323741
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Ceftazidime",653,334,10,2.9940119760479
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Ceftriaxone",653,227,4,1.76211453744493
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Ciprofloxacin",653,468,45,9.61538461538462
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Ertapenem",653,265,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Imipenem",653,322,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Levofloxacin",653,40,3,7.5
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Salmonella","Meropenem",653,334,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Shigella","Cefotaxime",653,23,8,34.7826086956522
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Shigella","Ceftazidime",653,32,2,6.25
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Shigella","Ceftriaxone",653,37,10,27.027027027027
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"STOOL","Shigella","Ciprofloxacin",653,58,8,13.7931034482759
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ampicillin",13558,8982,5869,65.3417947005121
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Cefepime",13558,6533,752,11.5107913669065
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Cefotaxime",13558,6524,2086,31.9742489270386
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ceftazidime",13558,8798,1643,18.6746987951807
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ceftriaxone",13558,2477,832,33.589018974566
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ciprofloxacin",13558,9554,3189,33.3786895541135
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Colistin",13558,59,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ertapenem",13558,4476,35,0.781948168007149
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Imipenem",13558,8670,44,0.507497116493656
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Levofloxacin",13558,790,201,25.4430379746835
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Meropenem",13558,9075,46,0.506887052341598
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Trimethoprim/sulfamethoxazole",13558,9950,4101,41.21608040201
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Cefepime",13558,1965,273,13.8931297709924
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Cefotaxime",13558,1976,568,28.7449392712551
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Ceftazidime",13558,2653,549,20.6935544666415
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Ceftriaxone",13558,724,226,31.2154696132597
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Ciprofloxacin",13558,2829,428,15.1290208554259
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Colistin",13558,82,14,17.0731707317073
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Ertapenem",13558,1340,66,4.92537313432836
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Imipenem",13558,2615,136,5.20076481835564
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Levofloxacin",13558,193,19,9.84455958549223
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Meropenem",13558,2714,164,6.04274134119381
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",13558,2938,856,29.1354663036079
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter","Amikacin",2452,17,3,17.6470588235294
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter","Colistin",2452,22,1,4.54545454545455
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter","Gentamicin",2452,103,46,44.6601941747573
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter","Imipenem",2452,98,46,46.9387755102041
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter","Meropenem",2452,99,46,46.4646464646465
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter","Minocycline",2452,43,12,27.906976744186
