Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Cefotaxime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Escherichia coli","Cefotaxime",9.53800298062593,25.2941176470588,40.7960199004975,53.7313432835821,90
2018,"BLOOD","Escherichia coli","Cefotaxime",9.65364775239499,20.1223657375935,38.631090487239,53.5714285714286,82.6086956521739
2019,"BLOOD","Escherichia coli","Cefotaxime",10.2189781021898,20.7706608078418,37.2636815920398,56.379821958457,80.8138037599794
2020,"BLOOD","Escherichia coli","Cefotaxime",11.0898661567878,23.463687150838,37.6641014033499,55.8011049723757,85.7142857142857


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Cefotaxime",1982,532,254,47.7443609022556
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Cefotaxime",2452,584,280,47.945205479452
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Cefotaxime",2464,528,228,43.1818181818182
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Cefotaxime",2925,522,251,48.0842911877395
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Escherichia coli","Cefotaxime",6657,1358,281,20.6921944035346
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Cefotaxime",7385,1471,296,20.1223657375935
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Escherichia coli","Cefotaxime",5783,1212,230,18.976897689769
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Escherichia coli","Cefotaxime",7376,1254,266,21.2121212121212
"BIH","Bosnia and Herzegovina","European Region",2017,"BLOOD","Escherichia coli","Cefotaxime",634,170,43,25.2941176470588
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Cefotaxime",841,248,48,19.3548387096774
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Escherichia coli","Cefotaxime",1020,290,59,20.3448275862069
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Escherichia coli","Cefotaxime",954,179,42,23.463687150838
"CHE","Switzerland","European Region",2017,"BLOOD","Escherichia coli","Cefotaxime",9259,671,64,9.53800298062593
"CHE","Switzerland","European Region",2018,"BLOOD","Escherichia coli","Cefotaxime",19539,1357,131,9.65364775239499
"CHE","Switzerland","European Region",2019,"BLOOD","Escherichia coli","Cefotaxime",10424,548,56,10.2189781021898
"CHE","Switzerland","European Region",2020,"BLOOD","Escherichia coli","Cefotaxime",10256,523,58,11.0898661567878
"GEO","Georgia","European Region",2017,"BLOOD","Escherichia coli","Cefotaxime",105,10,5,50
"GEO","Georgia","European Region",2018,"BLOOD","Escherichia coli","Cefotaxime",216,48,25,52.0833333333333
"GEO","Georgia","European Region",2019,"BLOOD","Escherichia coli","Cefotaxime",433,76,43,56.578947368421
"GEO","Georgia","European Region",2020,"BLOOD","Escherichia coli","Cefotaxime",741,126,51,40.4761904761905
"IND","India","South-East Asia Region",2017,"BLOOD","Escherichia coli","Cefotaxime",8532,1219,930,76.2920426579163
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Cefotaxime",14459,1954,1547,79.1709314227226
"IND","India","South-East Asia Region",2019,"BLOOD","Escherichia coli","Cefotaxime",24223,3883,3138,80.8138037599794
"IND","India","South-East Asia Region",2020,"BLOOD","Escherichia coli","Cefotaxime",12371,2500,1999,79.96
"JPN","Japan","Western Pacific Region",2017,"BLOOD","Escherichia coli","Cefotaxime",168145,70749,13937,19.6992183635104
