Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ceftazidime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Escherichia coli","Ceftazidime",6.77839851024209,18.0602799837956,31.7535545023697,46.0516559565002,100
2018,"BLOOD","Escherichia coli","Ceftazidime",7.25771777452919,17.2704890542106,27.5862068965517,47.3076923076923,68.6835106382979
2019,"BLOOD","Escherichia coli","Ceftazidime",7.94780545670225,17.2484818831491,26.4367816091954,50.278139424784,75
2020,"BLOOD","Escherichia coli","Ceftazidime",7.4805808848362,18.5645563983907,31.0810810810811,51.636605639159,78.90625


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ceftazidime",1982,633,201,31.7535545023697
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ceftazidime",2452,783,216,27.5862068965517
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ceftazidime",2464,742,186,25.0673854447439
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Ceftazidime",2925,767,239,31.1603650586701
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Escherichia coli","Ceftazidime",6657,1789,318,17.7752934600335
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Ceftazidime",7385,2116,364,17.2022684310019
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Escherichia coli","Ceftazidime",5783,1669,287,17.1959257040144
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Escherichia coli","Ceftazidime",7376,1884,376,19.9575371549894
"BIH","Bosnia and Herzegovina","European Region",2017,"BLOOD","Escherichia coli","Ceftazidime",634,192,37,19.2708333333333
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Ceftazidime",841,248,43,17.3387096774194
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Escherichia coli","Ceftazidime",1020,289,50,17.3010380622837
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Escherichia coli","Ceftazidime",954,179,38,21.2290502793296
