Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Escherichia coli","Ciprofloxacin",17.3316014102802,29.4117647058824,42.1602787456446,48.4076433121019,68.4943429068755
2018,"BLOOD","Escherichia coli","Ciprofloxacin",17.7106196184366,34.1442224152911,43.1818181818182,54.48798988622,74.0740740740741
2019,"BLOOD","Escherichia coli","Ciprofloxacin",16.3877381938691,30.6924882629108,44.2550037064492,51.063829787234,81.6353887399464
2020,"BLOOD","Escherichia coli","Ciprofloxacin",15.7490824157491,32.5,44.0298507462687,53.0322580645161,73.3752620545073


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",1982,628,304,48.4076433121019
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",2452,791,431,54.48798988622
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ciprofloxacin",2464,759,372,49.0118577075099
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Ciprofloxacin",2925,775,411,53.0322580645161
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Escherichia coli","Ciprofloxacin",6657,1803,590,32.7232390460344
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Ciprofloxacin",7385,2107,702,33.3175130517323
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Escherichia coli","Ciprofloxacin",5783,1704,523,30.6924882629108
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Escherichia coli","Ciprofloxacin",7376,1953,660,33.7941628264209
"BIH","Bosnia and Herzegovina","European Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",634,185,48,25.9459459459459
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",841,243,60,24.6913580246914
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Escherichia coli","Ciprofloxacin",1020,289,86,29.757785467128
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Escherichia coli","Ciprofloxacin",954,179,35,19.5530726256983
"CHE","Switzerland","European Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",9259,5389,934,17.3316014102802
"CHE","Switzerland","European Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",19539,11846,2098,17.7106196184366
"CHE","Switzerland","European Region",2019,"BLOOD","Escherichia coli","Ciprofloxacin",10424,6035,989,16.3877381938691
"CHE","Switzerland","European Region",2020,"BLOOD","Escherichia coli","Ciprofloxacin",10256,5994,944,15.7490824157491
"GEO","Georgia","European Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",105,17,5,29.4117647058824
"GEO","Georgia","European Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",216,49,24,48.9795918367347
"GEO","Georgia","European Region",2019,"BLOOD","Escherichia coli","Ciprofloxacin",433,78,33,42.3076923076923
"GEO","Georgia","European Region",2020,"BLOOD","Escherichia coli","Ciprofloxacin",741,134,59,44.0298507462687
"IND","India","South-East Asia Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",8532,1149,787,68.4943429068755
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",14459,1841,1325,71.9717544812602
"IND","India","South-East Asia Region",2019,"BLOOD","Escherichia coli","Ciprofloxacin",24223,4321,3193,73.8949317287665
"IND","India","South-East Asia Region",2020,"BLOOD","Escherichia coli","Ciprofloxacin",12371,2330,1648,70.7296137339056
"JOR","Jordan","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",18,10,6,60
"JOR","Jordan","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Ciprofloxacin",345,45,27,60
"JOR","Jordan","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Ciprofloxacin",627,93,56,60.2150537634409
"JOR","Jordan","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Ciprofloxacin",446,58,31,53.448275862069
"JPN","Japan","Western Pacific Region",2017,"BLOOD","Escherichia coli","Ciprofloxacin",168145,44410,13051,29.3875253321324
