Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Co-trimoxazole

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Escherichia coli","Co-trimoxazole",31.3769751693002,52.4368770255947,59.2811758134339,69.5190730106645,90
2018,"BLOOD","Escherichia coli","Co-trimoxazole",35.9628770301624,48.9773853975487,52.3723453842465,57.972860559426,94.4444444444444
2019,"BLOOD","Escherichia coli","Co-trimoxazole",36.7199587416194,47.6050332234605,52.8683549816359,61.9086429112964,78.858024691358
2020,"BLOOD","Escherichia coli","Co-trimoxazole",33.5898596650068,45.6741573033708,51.2159910661422,58.497191011236,67.7316293929712


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Co-trimoxazole",1982,634,342,53.9432176656151
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Co-trimoxazole",2452,791,411,51.9595448798989
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Co-trimoxazole",2464,729,352,48.2853223593964
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Co-trimoxazole",2925,754,384,50.9283819628647
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Escherichia coli","Co-trimoxazole",6657,1753,840,47.9178551055334
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Co-trimoxazole",7385,2061,991,48.083454633673
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Escherichia coli","Co-trimoxazole",5783,1662,798,48.014440433213
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Escherichia coli","Co-trimoxazole",7376,1932,909,47.0496894409938
"IND","India","South-East Asia Region",2017,"BLOOD","Escherichia coli","Co-trimoxazole",8532,184,126,68.4782608695652
"IND","India","South-East Asia Region",2018,"BLOOD","Escherichia coli","Co-trimoxazole",14459,326,182,55.8282208588957
"IND","India","South-East Asia Region",2019,"BLOOD","Escherichia coli","Co-trimoxazole",24223,955,548,57.3821989528796
"IND","India","South-East Asia Region",2020,"BLOOD","Escherichia coli","Co-trimoxazole",12371,516,301,58.3333333333333
"KOR","Republic of Korea","Western Pacific Region",2017,"BLOOD","Escherichia coli","Co-trimoxazole",3518,1772,556,31.3769751693002
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Escherichia coli","Co-trimoxazole",3519,1724,620,35.9628770301624
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Escherichia coli","Co-trimoxazole",3646,1939,712,36.7199587416194
