Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ceftriaxone

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",5.99982482263292,42.0147668905571,50.2085726376882,79.9248120300752,100
2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",6.15798083664408,32.605150697256,57.0758189179242,84.6816770186336,99.1489361702128
2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",6.4942561911909,37.41275025986,54.1684790488618,79.4374558838358,96.551724137931
2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",6.28436763550668,44.4021542126249,70.2898550724638,78.6275282772842,98.2758620689655


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",1982,119,57,47.8991596638655
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",2452,150,80,53.3333333333333
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",2464,209,88,42.1052631578947
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",2925,300,165,55
"BHR","Bahrain","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",196,169,75,44.3786982248521
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",633,125,57,45.6
"BHR","Bahrain","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",780,209,113,54.066985645933
"BHR","Bahrain","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",568,168,112,66.6666666666667
"BIH","Bosnia and Herzegovina","European Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",634,145,84,57.9310344827586
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",841,200,139,69.5
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",1020,211,164,77.7251184834123
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",954,207,153,73.9130434782609
"CHE","Switzerland","European Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",9259,945,58,6.13756613756614
"CHE","Switzerland","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",19539,2066,178,8.61568247821878
"CHE","Switzerland","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",10424,1232,88,7.14285714285714
"CHE","Switzerland","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",10256,1273,80,6.28436763550668
"EGY","Egypt","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",102,33,33,100
"EGY","Egypt","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",967,235,233,99.1489361702128
"EGY","Egypt","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",1114,290,280,96.551724137931
"EGY","Egypt","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",901,162,155,95.679012345679
"GEO","Georgia","European Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",105,35,29,82.8571428571429
"GEO","Georgia","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",216,70,59,84.2857142857143
"GEO","Georgia","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",433,126,96,76.1904761904762
"GEO","Georgia","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",741,219,167,76.2557077625571
"IND","India","South-East Asia Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",8532,164,137,83.5365853658537
"IND","India","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",14459,92,79,85.8695652173913
"IND","India","South-East Asia Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",24223,188,159,84.5744680851064
"IND","India","South-East Asia Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",12371,58,57,98.2758620689655
"JPN","Japan","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",168145,22834,1370,5.99982482263292
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",126859,17116,1054,6.15798083664408
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",136246,17323,1125,6.4942561911909
"JPN","Japan","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",142185,18103,1265,6.987792078661
"LAO","Lao People's Democratic Republic","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",209,30,10,33.3333333333333
"LAO","Lao People's Democratic Republic","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",275,36,11,30.5555555555556
"LAO","Lao People's Democratic Republic","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",314,39,11,28.2051282051282
"LAO","Lao People's Democratic Republic","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",422,82,39,47.5609756097561
"MKD","North Macedonia","European Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftriaxone",175,19,15,78.9473684210526
