Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2.90158944876564,22.6739248623959,37.6569219236991,53.4522251308901,80.4878048780488
2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2.81892021022456,23.0473354093746,42.4603174603175,55.9700817323642,86.5030674846626
2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2.90369751410069,33.4659090909091,44.1517303795227,63.0775268581116,90.5660377358491
2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3.7592615085631,36.4094239094239,47.8579659913615,62.8051187528183,88.715953307393


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1982,486,116,23.8683127572016
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2452,567,234,41.2698412698413
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2464,528,212,40.1515151515151
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2925,638,254,39.8119122257053
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",6657,1326,564,42.5339366515837
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",7385,1501,602,40.1065956029314
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5783,1175,466,39.6595744680851
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",7376,1767,849,48.0475382003396
"BHR","Bahrain","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",196,169,53,31.3609467455621
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",633,125,39,31.2
