Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Co-trimoxazole

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",18.6147186147186,35.7500964134207,46.3114754098361,54.5878693623639,100
2018,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",23.5378031383738,33.3203505355404,51.1450381679389,58.6510263929619,83.3333333333333
2019,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",23.463687150838,33.3333333333333,50.2415458937198,64.6621202727836,85.7142857142857
2020,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",21.7241379310345,33.128295254833,55.0925925925926,61.3157894736842,81.8181818181818


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",1982,496,162,32.6612903225806
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",2452,564,215,38.1205673758865
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",2464,511,176,34.4422700587084
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",2925,618,228,36.8932038834951
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",6657,1286,702,54.5878693623639
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",7385,1472,766,52.0380434782609
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",5783,1147,603,52.5719267654752
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",7376,1744,1003,57.5114678899083
"BHR","Bahrain","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",196,169,88,52.0710059171598
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",633,119,54,45.3781512605042
"BHR","Bahrain","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",780,207,104,50.2415458937198
"BHR","Bahrain","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",568,168,93,55.3571428571429
"IND","India","South-East Asia Region",2017,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",8532,528,451,85.4166666666667
"IND","India","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",14459,341,200,58.6510263929619
"IND","India","South-East Asia Region",2019,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",24223,1613,1043,64.6621202727836
"IND","India","South-East Asia Region",2020,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",12371,760,466,61.3157894736842
"KOR","Republic of Korea","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",3518,693,129,18.6147186147186
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",3519,701,165,23.5378031383738
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",3646,716,168,23.463687150838
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",4095,870,189,21.7241379310345
"LAO","Lao People's Democratic Republic","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",209,30,9,30
"LAO","Lao People's Democratic Republic","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Co-trimoxazole",275,36,10,27.7777777777778
