Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.
Antibiotic filter: Gentamicin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Acinetobacter spp.","Gentamicin",6.66666666666667,40.2985074626866,64.2857142857143,76.1904761904762,96.4285714285714
2018,"BLOOD","Acinetobacter spp.","Gentamicin",5.04201680672269,36.0128617363344,60.054347826087,75.8620689655172,98.4848484848485
2019,"BLOOD","Acinetobacter spp.","Gentamicin",8,37.8048780487805,63.4408602150538,70.2702702702703,96.5065502183406
2020,"BLOOD","Acinetobacter spp.","Gentamicin",3.57142857142857,46.5,64,76.3102725366876,94.8275862068966


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Acinetobacter spp.","Gentamicin",1982,67,27,40.2985074626866
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",2452,103,46,44.6601941747573
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",2464,97,35,36.0824742268041
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Acinetobacter spp.","Gentamicin",2925,122,59,48.3606557377049
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Acinetobacter spp.","Gentamicin",6657,366,225,61.4754098360656
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Acinetobacter spp.","Gentamicin",7385,368,221,60.054347826087
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Acinetobacter spp.","Gentamicin",5783,279,177,63.4408602150538
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Acinetobacter spp.","Gentamicin",7376,615,464,75.4471544715447
"BIH","Bosnia and Herzegovina","European Region",2017,"BLOOD","Acinetobacter spp.","Gentamicin",634,112,108,96.4285714285714
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Acinetobacter spp.","Gentamicin",841,132,130,98.4848484848485
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Acinetobacter spp.","Gentamicin",1020,229,221,96.5065502183406
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Acinetobacter spp.","Gentamicin",954,348,330,94.8275862068966
"CHE","Switzerland","European Region",2017,"BLOOD","Acinetobacter spp.","Gentamicin",9259,78,9,11.5384615384615
