Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Imipenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Klebsiella pneumoniae","Imipenem",0,6.55737704918033,13.4715025906736,21.8623481781377,69.4915254237288
2018,"BLOOD","Klebsiella pneumoniae","Imipenem",0.125995590154345,8.41423948220065,14.1843971631206,27.027027027027,90
2019,"BLOOD","Klebsiella pneumoniae","Imipenem",0,5.45454545454545,16.2756598240469,38.8688327316486,87.8787878787879
2020,"BLOOD","Klebsiella pneumoniae","Imipenem",0.0767831885229339,6.06060606060606,20.7413945278023,53.6985205917633,71.8446601941748


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",1982,476,47,9.87394957983193
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",2452,545,47,8.62385321100918
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Imipenem",2464,504,37,7.34126984126984
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",2925,599,75,12.5208681135225
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",6657,1332,247,18.5435435435435
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",7385,1517,300,19.77587343441
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Klebsiella pneumoniae","Imipenem",5783,1166,182,15.6089193825043
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",7376,1756,424,24.1457858769932
"BHR","Bahrain","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",196,59,41,69.4915254237288
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",633,30,27,90
