Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Salmonella spp.
Antibiotic filter: Ceftazidime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Salmonella spp.","Ceftazidime",0,0,1.53846153846154,2.42624223602484,7.69230769230769
2018,"BLOOD","Salmonella spp.","Ceftazidime",0,0,0.569259962049336,3.98523045581869,10.377358490566
2019,"BLOOD","Salmonella spp.","Ceftazidime",0,0.625,4.16666666666667,6.13266583229036,14.6153846153846
2020,"BLOOD","Salmonella spp.","Ceftazidime",0,0,1.72413793103448,4.2652027027027,16.6666666666667


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",1982,67,0,0
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",2452,106,11,10.377358490566
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",2464,130,19,14.6153846153846
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",2925,90,15,16.6666666666667
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Salmonella spp.","Ceftazidime",6657,37,0,0
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Salmonella spp.","Ceftazidime",7385,45,0,0
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Salmonella spp.","Ceftazidime",5783,144,1,0.694444444444444
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Salmonella spp.","Ceftazidime",7376,80,0,0
"BGD","Bangladesh","South-East Asia Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",49,12,0,0
"BGD","Bangladesh","South-East Asia Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",122,72,0,0
"BGD","Bangladesh","South-East Asia Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",170,96,4,4.16666666666667
"BGD","Bangladesh","South-East Asia Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",65,34,0,0
"CHE","Switzerland","European Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",9259,65,1,1.53846153846154
"CHE","Switzerland","European Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",19539,136,0,0
"CHE","Switzerland","European Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",10424,59,0,0
"CHE","Switzerland","European Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",10256,47,1,2.12765957446809
"JPN","Japan","Western Pacific Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",168145,621,7,1.12721417069243
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",126859,527,3,0.569259962049336
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",136246,571,7,1.22591943957968
"JPN","Japan","Western Pacific Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",142185,522,9,1.72413793103448
"KOR","Republic of Korea","Western Pacific Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",3518,56,1,1.78571428571429
"KOR","Republic of Korea","Western Pacific Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",3519,55,1,1.81818181818182
"KOR","Republic of Korea","Western Pacific Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",3646,47,3,6.38297872340426
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",4095,37,2,5.40540540540541
"MYS","Malaysia","Western Pacific Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",25686,224,6,2.67857142857143
"MYS","Malaysia","Western Pacific Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",26268,187,6,3.20855614973262
"MYS","Malaysia","Western Pacific Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",25194,180,1,0.555555555555556
"MYS","Malaysia","Western Pacific Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",20249,119,1,0.840336134453782
"PHL","Philippines","Western Pacific Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",5103,26,1,3.84615384615385
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",5595,15,0,0
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",6468,17,1,5.88235294117647
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",4276,11,0,0
"POL","Poland","European Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",6587,46,1,2.17391304347826
"POL","Poland","European Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",6477,29,0,0
"POL","Poland","European Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",6404,44,0,0
"POL","Poland","European Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",4975,18,0,0
"SAU","Saudi Arabia","Eastern Mediterranean Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",1491,38,0,0
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",2420,42,2,4.76190476190476
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",2528,40,2,5
"SAU","Saudi Arabia","Eastern Mediterranean Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",2458,32,1,3.125
"THA","Thailand","South-East Asia Region",2017,"BLOOD","Salmonella spp.","Ceftazidime",1349,26,2,7.69230769230769
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Salmonella spp.","Ceftazidime",2629,69,6,8.69565217391304
"THA","Thailand","South-East Asia Region",2019,"BLOOD","Salmonella spp.","Ceftazidime",5463,93,10,10.752688172043
"THA","Thailand","South-East Asia Region",2020,"BLOOD","Salmonella spp.","Ceftazidime",6159,116,15,12.9310344827586
