Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Salmonella spp.
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Salmonella spp.","Ciprofloxacin",0,3.57142857142857,12,36.7142314821018,61.5384615384615
2018,"BLOOD","Salmonella spp.","Ciprofloxacin",0.769230769230769,3.29965238378271,14.2857142857143,28.7672769700233,68.4319297339189
2019,"BLOOD","Salmonella spp.","Ciprofloxacin",0.943396226415094,3.5786699107867,11.4285714285714,32.8163265306122,80.2932448943969
2020,"BLOOD","Salmonella spp.","Ciprofloxacin",0,2.22603325090876,19.672131147541,32.2916666666667,71.319018404908


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Salmonella spp.","Ciprofloxacin",1982,69,26,37.6811594202899
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Salmonella spp.","Ciprofloxacin",2452,92,36,39.1304347826087
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Salmonella spp.","Ciprofloxacin",2464,107,53,49.5327102803738
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Salmonella spp.","Ciprofloxacin",2925,96,30,31.25
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Salmonella spp.","Ciprofloxacin",6657,40,3,7.5
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Salmonella spp.","Ciprofloxacin",7385,43,1,2.32558139534884
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Salmonella spp.","Ciprofloxacin",5783,108,3,2.77777777777778
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Salmonella spp.","Ciprofloxacin",7376,264,0,0
"BGD","Bangladesh","South-East Asia Region",2017,"BLOOD","Salmonella spp.","Ciprofloxacin",49,12,0,0
"BGD","Bangladesh","South-East Asia Region",2018,"BLOOD","Salmonella spp.","Ciprofloxacin",122,73,16,21.9178082191781
"BGD","Bangladesh","South-East Asia Region",2019,"BLOOD","Salmonella spp.","Ciprofloxacin",170,98,31,31.6326530612245
"BGD","Bangladesh","South-East Asia Region",2020,"BLOOD","Salmonella spp.","Ciprofloxacin",65,48,12,25
"CHE","Switzerland","European Region",2017,"BLOOD","Salmonella spp.","Ciprofloxacin",9259,82,13,15.8536585365854
"CHE","Switzerland","European Region",2018,"BLOOD","Salmonella spp.","Ciprofloxacin",19539,140,20,14.2857142857143
"CHE","Switzerland","European Region",2019,"BLOOD","Salmonella spp.","Ciprofloxacin",10424,70,8,11.4285714285714
"CHE","Switzerland","European Region",2020,"BLOOD","Salmonella spp.","Ciprofloxacin",10256,61,12,19.672131147541
"IND","India","South-East Asia Region",2017,"BLOOD","Salmonella spp.","Ciprofloxacin",8532,506,159,31.4229249011858
"IND","India","South-East Asia Region",2018,"BLOOD","Salmonella spp.","Ciprofloxacin",14459,619,167,26.9789983844911
"IND","India","South-East Asia Region",2019,"BLOOD","Salmonella spp.","Ciprofloxacin",24223,1215,484,39.8353909465021
"IND","India","South-East Asia Region",2020,"BLOOD","Salmonella spp.","Ciprofloxacin",12371,278,128,46.0431654676259
"JPN","Japan","Western Pacific Region",2017,"BLOOD","Salmonella spp.","Ciprofloxacin",168145,301,4,1.32890365448505
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Salmonella spp.","Ciprofloxacin",126859,260,2,0.769230769230769
"JPN","Japan","Western Pacific Region",2019,"BLOOD","Salmonella spp.","Ciprofloxacin",136246,318,3,0.943396226415094
"JPN","Japan","Western Pacific Region",2020,"BLOOD","Salmonella spp.","Ciprofloxacin",142185,345,3,0.869565217391304
