Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Streptococcus pneumoniae
Antibiotic filter: Penicillin G

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Streptococcus pneumoniae","Penicillin G",0.0413736036408771,7.26120857699805,15.742397137746,27.2767907028718,42.8571428571429
2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",0.122624156958921,6.38888888888889,14.6341463414634,28.9618086040386,49.3333333333333
2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",0.185242358752701,4.65991692627207,13.7065637065637,27.7666932694866,37.9746835443038
2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",0,4.2890757767223,13.5135135135135,24.4290865384615,39.6551724137931


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Streptococcus pneumoniae","Penicillin G",1982,66,20,30.3030303030303
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",2452,67,26,38.8059701492537
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",2464,98,36,36.734693877551
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",2925,52,12,23.0769230769231
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Streptococcus pneumoniae","Penicillin G",6657,259,68,26.2548262548263
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",7385,408,78,19.1176470588235
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Streptococcus pneumoniae","Penicillin G",5783,358,88,24.5810055865922
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Streptococcus pneumoniae","Penicillin G",7376,128,33,25.78125
"BIH","Bosnia and Herzegovina","European Region",2017,"BLOOD","Streptococcus pneumoniae","Penicillin G",634,19,5,26.3157894736842
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Streptococcus pneumoniae","Penicillin G",841,30,14,46.6666666666667
