Filters
Region filter: All
Infection syndrome filter: Gonorrhoea
Bacterial pathogen filter: Neisseria gonorrhoeae
Antibiotic filter: Ceftriaxone

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",0,0,0,0.859016313373059,5.79710144927536
2018,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",0,0,0.661764705882353,2.2192513368984,4.04040404040404
2019,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",0,0,0,4.31270536692223,6.52173913043478
2020,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",0,0,0,2.08620689655172,6.81818181818182


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"CHE","Switzerland","European Region",2017,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",94,41,0,0
"CHE","Switzerland","European Region",2018,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",110,110,2,1.81818181818182
"CHE","Switzerland","European Region",2019,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",154,154,0,0
"CHE","Switzerland","European Region",2020,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",154,154,0,0
"FIN","Finland","European Region",2017,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",342,340,0,0
"FIN","Finland","European Region",2018,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",125,124,0,0
"FIN","Finland","European Region",2019,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",124,123,0,0
"FIN","Finland","European Region",2020,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",86,86,0,0
"JPN","Japan","Western Pacific Region",2017,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",982,982,42,4.27698574338086
"JPN","Japan","Western Pacific Region",2018,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",1167,1167,41,3.51328191945159
"JPN","Japan","Western Pacific Region",2019,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",1023,1023,55,5.37634408602151
"JPN","Japan","Western Pacific Region",2020,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",825,825,22,2.66666666666667
"MYS","Malaysia","Western Pacific Region",2017,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",217,207,12,5.79710144927536
"MYS","Malaysia","Western Pacific Region",2018,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",183,170,4,2.35294117647059
"MYS","Malaysia","Western Pacific Region",2019,"GENITAL","Neisseria gonorrhoeae","Ceftriaxone",168,138,9,6.52173913043478
