Filters
Region filter: All
Infection syndrome filter: 
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Third-generation cephalosporins

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",5.86502410283878,12.0582206638831,20.1957063835225,48.8207547169811,100
2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",6.75431812322764,12.5955746061168,20.1215669511567,47.4267940178459,87.2727272727273
2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",5.52380952380952,13.2384792841614,19.9550224887556,49.018771331058,88.8741721854305
2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",5.3301747112822,10.8332142027483,23.9609457426017,51.4215418261345,86.8131868131868


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",1982,136,71,52.2058823529412
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",2452,584,280,47.945205479452
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",2464,293,135,46.0750853242321
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",2925,392,212,54.0816326530612
"ARG","Argentina","Region of the Americas",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",6657,1358,281,20.6921944035346
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",7385,1471,296,20.1223657375935
"ARG","Argentina","Region of the Americas",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",5783,1212,230,18.976897689769
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",7376,1254,266,21.2121212121212
"AUT","Austria","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",10210,5129,494,9.63150711639696
"AUT","Austria","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",10829,5672,579,10.2080394922426
"AUT","Austria","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",10215,5748,521,9.06402226861517
"AUT","Austria","European Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",8660,4933,465,9.42631258868843
"BIH","Bosnia and Herzegovina","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",634,170,43,25.2941176470588
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",841,248,48,19.3548387096774
"BIH","Bosnia and Herzegovina","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",1020,290,59,20.3448275862069
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",954,179,42,23.463687150838
"CHE","Switzerland","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",9259,671,64,9.53800298062593
"CHE","Switzerland","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",19539,11775,1200,10.1910828025478
"CHE","Switzerland","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",10424,6030,619,10.2653399668325
"CHE","Switzerland","European Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",10256,523,58,11.0898661567878
"CYP","Cyprus","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",413,156,48,30.7692307692308
"CYP","Cyprus","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",428,151,56,37.0860927152318
"CYP","Cyprus","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",250,92,18,19.5652173913043
"CYP","Cyprus","European Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",739,62,32,51.6129032258064
"CZE","Czechia","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",6893,3199,455,14.2231947483589
"CZE","Czechia","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",7835,3641,554,15.2156001098599
"CZE","Czechia","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",7711,3554,546,15.3629712999437
"CZE","Czechia","European Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",6846,2995,392,13.0884808013356
"DEU","Germany","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",39144,21070,2588,12.2828666350261
"DEU","Germany","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",39366,21517,2621,12.1810661337547
"DEU","Germany","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",41630,16172,1853,11.4580756863715
"DEU","Germany","European Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",48396,19955,2035,10.1979453770985
"FIN","Finland","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",22539,5141,337,6.55514491344096
"FIN","Finland","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",8600,5020,381,7.58964143426295
"FIN","Finland","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",9354,244,19,7.78688524590164
"FIN","Finland","European Region",2020,"BLOOD","Escherichia coli","Third-generation cephalosporins",8809,6068,402,6.62491760052736
"FRA","France","European Region",2017,"BLOOD","Escherichia coli","Third-generation cephalosporins",23811,13352,1365,10.2231875374476
"FRA","France","European Region",2018,"BLOOD","Escherichia coli","Third-generation cephalosporins",24089,12614,1210,9.59251625178373
"FRA","France","European Region",2019,"BLOOD","Escherichia coli","Third-generation cephalosporins",24352,4739,430,9.07364422874024
