Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Cefepime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Cefepime",3.26547921967769,11.4426493798232,22.6206251093241,39.6573224261772,72.2943722943723
2018,"URINE","Escherichia coli","Cefepime",3.60652403289984,12.8607678616729,19.4724902366184,43.1265442045332,72.3185424625331
2019,"URINE","Escherichia coli","Cefepime",3.80430208370907,14.1004105606294,23.9758168728972,45.844401431834,76.1413843888071
2020,"URINE","Escherichia coli","Cefepime",3.77725728235411,13.5278723408779,21.3350269423058,44.0421234110442,94.4333996023857


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Cefepime",13558,6533,752,11.5107913669065
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Cefepime",22331,12251,1656,13.5172638968247
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Cefepime",27055,14385,2042,14.1953423705249
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Cefepime",29681,15487,2168,13.9988377348744
"ARG","Argentina","Region of the Americas",2017,"URINE","Escherichia coli","Cefepime",39782,19133,2055,10.740605237025
"ARG","Argentina","Region of the Americas",2018,"URINE","Escherichia coli","Cefepime",44553,22858,2534,11.0858342812145
"ARG","Argentina","Region of the Americas",2019,"URINE","Escherichia coli","Cefepime",35830,21196,2238,10.5585959615022
"ARG","Argentina","Region of the Americas",2020,"URINE","Escherichia coli","Cefepime",29170,15658,1868,11.930003831907
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Escherichia coli","Cefepime",209,90,44,48.8888888888889
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Escherichia coli","Cefepime",412,214,104,48.5981308411215
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Escherichia coli","Cefepime",488,321,165,51.4018691588785
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Escherichia coli","Cefepime",261,180,94,52.2222222222222
"CHE","Switzerland","European Region",2017,"URINE","Escherichia coli","Cefepime",97650,7074,231,3.26547921967769
"CHE","Switzerland","European Region",2018,"URINE","Escherichia coli","Cefepime",118114,78663,2837,3.60652403289984
"CHE","Switzerland","European Region",2019,"URINE","Escherichia coli","Cefepime",139721,83169,3164,3.80430208370907
"CHE","Switzerland","European Region",2020,"URINE","Escherichia coli","Cefepime",153286,90939,3435,3.77725728235411
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2017,"URINE","Escherichia coli","Cefepime",810851,111988,9327,8.32857091831268
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"URINE","Escherichia coli","Cefepime",863293,109425,11118,10.1603838245374
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2019,"URINE","Escherichia coli","Cefepime",880701,108425,12721,11.7325340096841
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2020,"URINE","Escherichia coli","Cefepime",651538,78764,8065,10.239449494693
"IND","India","South-East Asia Region",2017,"URINE","Escherichia coli","Cefepime",10034,2079,1503,72.2943722943723
"IND","India","South-East Asia Region",2018,"URINE","Escherichia coli","Cefepime",25203,3403,2461,72.3185424625331
"IND","India","South-East Asia Region",2019,"URINE","Escherichia coli","Cefepime",47746,11419,7514,65.8026096856117
