Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Imipenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Imipenem",0,0.0418290813802584,0.525394045534151,2.42441002949852,29.7183942480527
2018,"URINE","Escherichia coli","Imipenem",0.00769280082056542,0.0720482683243827,1.08452950558214,3.9976928992566,32.1516225797655
2019,"URINE","Escherichia coli","Imipenem",0.00730220161378656,0.0986914143289435,0.723981900452489,3.90990228045869,28.125443451114
2020,"URINE","Escherichia coli","Imipenem",0.0130396642879158,0.122671313345087,1.24705089315807,5.38995710620425,20.5306770098731


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Imipenem",13558,8670,44,0.507497116493656
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Imipenem",22331,14071,73,0.518797526828228
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Imipenem",27055,15406,73,0.473841360508893
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Imipenem",29681,18875,91,0.482119205298013
"ARG","Argentina","Region of the Americas",2017,"URINE","Escherichia coli","Imipenem",39782,19806,31,0.15651822679996
"ARG","Argentina","Region of the Americas",2018,"URINE","Escherichia coli","Imipenem",44553,23434,30,0.12801911752155
"ARG","Argentina","Region of the Americas",2019,"URINE","Escherichia coli","Imipenem",35830,21413,28,0.13076168682576
"ARG","Argentina","Region of the Americas",2020,"URINE","Escherichia coli","Imipenem",29170,16102,27,0.167681033411998
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Escherichia coli","Imipenem",209,100,7,7
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Escherichia coli","Imipenem",412,289,34,11.7647058823529
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Escherichia coli","Imipenem",488,371,34,9.1644204851752
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Escherichia coli","Imipenem",261,138,7,5.07246376811594
"CHE","Switzerland","European Region",2017,"URINE","Escherichia coli","Imipenem",97650,8295,1,0.0120554550934298
"CHE","Switzerland","European Region",2018,"URINE","Escherichia coli","Imipenem",118114,77995,6,0.00769280082056542
"CHE","Switzerland","European Region",2019,"URINE","Escherichia coli","Imipenem",139721,82167,6,0.00730220161378656
"CHE","Switzerland","European Region",2020,"URINE","Escherichia coli","Imipenem",153286,84358,11,0.0130396642879158
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2017,"URINE","Escherichia coli","Imipenem",810851,27694,39,0.140824727377771
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"URINE","Escherichia coli","Imipenem",863293,35006,24,0.0685596754842027
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2019,"URINE","Escherichia coli","Imipenem",880701,33716,35,0.103808280934868
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2020,"URINE","Escherichia coli","Imipenem",651538,25802,35,0.135648399348888
"IND","India","South-East Asia Region",2017,"URINE","Escherichia coli","Imipenem",10034,1669,496,29.7183942480527
"IND","India","South-East Asia Region",2018,"URINE","Escherichia coli","Imipenem",25203,7334,2358,32.1516225797655
"IND","India","South-East Asia Region",2019,"URINE","Escherichia coli","Imipenem",47746,28188,7928,28.125443451114
