Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ceftriaxone

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Klebsiella pneumoniae","Ceftriaxone",2.29309435951502,26.5359781282225,43.3017519425304,54.154740608229,97.1428571428571
2018,"URINE","Klebsiella pneumoniae","Ceftriaxone",5.50302851233565,25.9816950109416,41.2433710306051,55.3942356526155,69.811320754717
2019,"URINE","Klebsiella pneumoniae","Ceftriaxone",4.73593740738545,19.8575033949115,42.9382162797532,52.2153072425285,58.751902587519
2020,"URINE","Klebsiella pneumoniae","Ceftriaxone",4.71561068275785,22.3138564161367,43.1722254407018,59.8590226617777,74.2980561555076


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Ceftriaxone",13558,724,226,31.2154696132597
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Klebsiella pneumoniae","Ceftriaxone",22331,1829,562,30.7271733187534
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Klebsiella pneumoniae","Ceftriaxone",27055,2325,519,22.3225806451613
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Klebsiella pneumoniae","Ceftriaxone",29681,1916,493,25.7306889352818
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Klebsiella pneumoniae","Ceftriaxone",209,28,14,50
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Klebsiella pneumoniae","Ceftriaxone",412,74,32,43.2432432432432
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Klebsiella pneumoniae","Ceftriaxone",488,82,33,40.2439024390244
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Klebsiella pneumoniae","Ceftriaxone",261,43,18,41.8604651162791
"BHR","Bahrain","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Ceftriaxone",477,477,149,31.2368972746331
"BHR","Bahrain","Eastern Mediterranean Region",2018,"URINE","Klebsiella pneumoniae","Ceftriaxone",3706,549,197,35.8834244080146
"BHR","Bahrain","Eastern Mediterranean Region",2019,"URINE","Klebsiella pneumoniae","Ceftriaxone",4535,992,357,35.9879032258064
"BHR","Bahrain","Eastern Mediterranean Region",2020,"URINE","Klebsiella pneumoniae","Ceftriaxone",3517,913,304,33.2968236582694
"CHE","Switzerland","European Region",2017,"URINE","Klebsiella pneumoniae","Ceftriaxone",97650,1457,75,5.14756348661633
"CHE","Switzerland","European Region",2018,"URINE","Klebsiella pneumoniae","Ceftriaxone",118114,13538,745,5.50302851233565
