Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Klebsiella pneumoniae","Ciprofloxacin",4.62555707669453,12.6179002900404,31.2997347480106,39.5048439181916,77.7777777777778
2018,"URINE","Klebsiella pneumoniae","Ciprofloxacin",4.12175538935328,15.6655319515663,32.4865280985373,40,64
2019,"URINE","Klebsiella pneumoniae","Ciprofloxacin",4.39968713335941,13.2664012463216,32.7595780122154,39.5429706905117,60.2474864655839
2020,"URINE","Klebsiella pneumoniae","Ciprofloxacin",4.98988686626214,13.8939591481964,33.2025117739403,53.8461538461538,59.1562799616491


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Ciprofloxacin",13558,2829,428,15.1290208554259
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Klebsiella pneumoniae","Ciprofloxacin",22331,4443,1320,29.7096556380824
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Klebsiella pneumoniae","Ciprofloxacin",27055,5468,1805,33.0102414045355
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Klebsiella pneumoniae","Ciprofloxacin",29681,6129,1427,23.2827541197585
"ARG","Argentina","Region of the Americas",2017,"URINE","Klebsiella pneumoniae","Ciprofloxacin",39782,3958,1452,36.6851945426983
"ARG","Argentina","Region of the Americas",2018,"URINE","Klebsiella pneumoniae","Ciprofloxacin",44553,4557,1675,36.7566381391266
"ARG","Argentina","Region of the Americas",2019,"URINE","Klebsiella pneumoniae","Ciprofloxacin",35830,4121,1596,38.728463965057
"ARG","Argentina","Region of the Americas",2020,"URINE","Klebsiella pneumoniae","Ciprofloxacin",29170,3686,1482,40.2061855670103
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Klebsiella pneumoniae","Ciprofloxacin",209,36,14,38.8888888888889
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Klebsiella pneumoniae","Ciprofloxacin",412,84,39,46.4285714285714
