Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Co-trimoxazole

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Klebsiella pneumoniae","Co-trimoxazole",0,29.1354663036079,39.1134289439374,50.492264416315,69.2207792207792
2018,"URINE","Klebsiella pneumoniae","Co-trimoxazole",0,30.3692030616839,38.9362192033157,50,68.0297397769517
2019,"URINE","Klebsiella pneumoniae","Co-trimoxazole",0,25.6569343065693,38.8288800454804,48.0681818181818,57.6972281449893
2020,"URINE","Klebsiella pneumoniae","Co-trimoxazole",8.62875921131249,22.318698789287,35.8712715855573,51.1922503725782,63.8888888888889


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Co-trimoxazole",13558,2938,856,29.1354663036079
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Klebsiella pneumoniae","Co-trimoxazole",22331,4442,1349,30.3692030616839
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Klebsiella pneumoniae","Co-trimoxazole",27055,5480,1406,25.6569343065693
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Klebsiella pneumoniae","Co-trimoxazole",29681,6143,1530,24.9063975256389
"ARG","Argentina","Region of the Americas",2017,"URINE","Klebsiella pneumoniae","Co-trimoxazole",39782,3878,1781,45.9257349149046
"ARG","Argentina","Region of the Americas",2018,"URINE","Klebsiella pneumoniae","Co-trimoxazole",44553,4483,1948,43.4530448360473
"ARG","Argentina","Region of the Americas",2019,"URINE","Klebsiella pneumoniae","Co-trimoxazole",35830,4035,1854,45.9479553903346
"ARG","Argentina","Region of the Americas",2020,"URINE","Klebsiella pneumoniae","Co-trimoxazole",29170,3653,1652,45.2231042978374
"BHR","Bahrain","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Co-trimoxazole",477,467,190,40.6852248394004
"BHR","Bahrain","Eastern Mediterranean Region",2018,"URINE","Klebsiella pneumoniae","Co-trimoxazole",3706,462,168,36.3636363636364
"BHR","Bahrain","Eastern Mediterranean Region",2019,"URINE","Klebsiella pneumoniae","Co-trimoxazole",4535,985,350,35.5329949238579
"BHR","Bahrain","Eastern Mediterranean Region",2020,"URINE","Klebsiella pneumoniae","Co-trimoxazole",3517,914,288,31.5098468271335
"CHE","Switzerland","European Region",2017,"URINE","Klebsiella pneumoniae","Co-trimoxazole",97650,1703,167,9.8062243100411
"CHE","Switzerland","European Region",2018,"URINE","Klebsiella pneumoniae","Co-trimoxazole",118114,14194,1456,10.2578554318726
"CHE","Switzerland","European Region",2019,"URINE","Klebsiella pneumoniae","Co-trimoxazole",139721,18377,1686,9.1745116177831
"CHE","Switzerland","European Region",2020,"URINE","Klebsiella pneumoniae","Co-trimoxazole",153286,20084,1733,8.62875921131249
"FIN","Finland","European Region",2017,"URINE","Klebsiella pneumoniae","Co-trimoxazole",281729,4106,404,9.83925962006819
"FIN","Finland","European Region",2018,"URINE","Klebsiella pneumoniae","Co-trimoxazole",159588,2576,656,25.4658385093168
"FIN","Finland","European Region",2019,"URINE","Klebsiella pneumoniae","Co-trimoxazole",159676,4809,974,20.2536909960491
"FIN","Finland","European Region",2020,"URINE","Klebsiella pneumoniae","Co-trimoxazole",146108,6028,1197,19.8573324485733
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2017,"URINE","Klebsiella pneumoniae","Co-trimoxazole",810851,6979,2409,34.5178392319817
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"URINE","Klebsiella pneumoniae","Co-trimoxazole",863293,8686,3382,38.9362192033157
