Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Meropenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Klebsiella pneumoniae","Meropenem",0,0.465855445030024,5.17201895213632,13.7031139419674,20
2018,"URINE","Klebsiella pneumoniae","Meropenem",0.174927113702624,0.488424225584961,5.14812138728324,14.7760163281106,24.1228070175439
2019,"URINE","Klebsiella pneumoniae","Meropenem",0.175981708178654,0.406536835927495,3.69129552818378,15.4053264537135,22.503242542153
2020,"URINE","Klebsiella pneumoniae","Meropenem",0.0960614793467819,0.311382288863955,4.19408308242031,17.609944534545,24.2257398485891


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Meropenem",13558,2714,164,6.04274134119381
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Klebsiella pneumoniae","Meropenem",22331,4336,271,6.25
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Klebsiella pneumoniae","Meropenem",27055,5418,213,3.93133997785161
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Klebsiella pneumoniae","Meropenem",29681,5882,244,4.1482488949337
"ARG","Argentina","Region of the Americas",2017,"URINE","Klebsiella pneumoniae","Meropenem",39782,3180,406,12.7672955974843
"ARG","Argentina","Region of the Americas",2018,"URINE","Klebsiella pneumoniae","Meropenem",44553,3809,435,11.4203202940404
"ARG","Argentina","Region of the Americas",2019,"URINE","Klebsiella pneumoniae","Meropenem",35830,3539,434,12.2633512291608
"ARG","Argentina","Region of the Americas",2020,"URINE","Klebsiella pneumoniae","Meropenem",29170,3174,493,15.5324511657215
"BHR","Bahrain","Eastern Mediterranean Region",2017,"URINE","Klebsiella pneumoniae","Meropenem",477,150,27,18
"BHR","Bahrain","Eastern Mediterranean Region",2018,"URINE","Klebsiella pneumoniae","Meropenem",3706,197,28,14.2131979695431
"BHR","Bahrain","Eastern Mediterranean Region",2019,"URINE","Klebsiella pneumoniae","Meropenem",4535,455,68,14.9450549450549
"BHR","Bahrain","Eastern Mediterranean Region",2020,"URINE","Klebsiella pneumoniae","Meropenem",3517,397,71,17.8841309823678
"FIN","Finland","European Region",2017,"URINE","Klebsiella pneumoniae","Meropenem",281729,3969,0,0
"FIN","Finland","European Region",2018,"URINE","Klebsiella pneumoniae","Meropenem",159588,2062,4,0.193986420950533
"FIN","Finland","European Region",2019,"URINE","Klebsiella pneumoniae","Meropenem",159676,2213,4,0.180750112968821
"FIN","Finland","European Region",2020,"URINE","Klebsiella pneumoniae","Meropenem",146108,2082,2,0.0960614793467819
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2017,"URINE","Klebsiella pneumoniae","Meropenem",810851,29459,160,0.543127736854611
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"URINE","Klebsiella pneumoniae","Meropenem",863293,31397,184,0.586043252540052
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2019,"URINE","Klebsiella pneumoniae","Meropenem",880701,44416,191,0.430025216138329
