Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ceftazidime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Ceftazidime",1.93128442335662,11.0674515770865,24.1506610859021,47.884012539185,100
2018,"URINE","Escherichia coli","Ceftazidime",2.74068868587491,13.522266243339,27.4597991558555,49.8521838919763,84.2911877394636
2019,"URINE","Escherichia coli","Ceftazidime",2.33177881412392,11.6027187729394,26.7029603774742,48.6781261122656,76.5576323987539
2020,"URINE","Escherichia coli","Ceftazidime",2.57936507936508,12.4928828449562,29.6230525169295,47.7102011541095,81.2080536912752


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ceftazidime",13558,8798,1643,18.6746987951807
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ceftazidime",22331,14764,2726,18.4638309401246
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ceftazidime",27055,17712,3244,18.3152664859982
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ceftazidime",29681,19782,3579,18.0922050348802
"ARG","Argentina","Region of the Americas",2017,"URINE","Escherichia coli","Ceftazidime",39782,20885,2364,11.3191285611683
"ARG","Argentina","Region of the Americas",2018,"URINE","Escherichia coli","Ceftazidime",44553,24787,2956,11.9256061645217
"ARG","Argentina","Region of the Americas",2019,"URINE","Escherichia coli","Ceftazidime",35830,21462,2560,11.9280588947908
"ARG","Argentina","Region of the Americas",2020,"URINE","Escherichia coli","Ceftazidime",29170,15938,2187,13.7219224494918
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Escherichia coli","Ceftazidime",209,87,48,55.1724137931034
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Escherichia coli","Ceftazidime",412,254,147,57.8740157480315
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Escherichia coli","Ceftazidime",488,347,179,51.5850144092219
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Escherichia coli","Ceftazidime",261,185,102,55.1351351351351
"CHE","Switzerland","European Region",2017,"URINE","Escherichia coli","Ceftazidime",97650,8494,374,4.40310807628915
"CHE","Switzerland","European Region",2018,"URINE","Escherichia coli","Ceftazidime",118114,85356,4094,4.79638221097521
"CHE","Switzerland","European Region",2019,"URINE","Escherichia coli","Ceftazidime",139721,90605,4773,5.26792119640196
"CHE","Switzerland","European Region",2020,"URINE","Escherichia coli","Ceftazidime",153286,98115,4933,5.02777353106049
"FIN","Finland","European Region",2017,"URINE","Escherichia coli","Ceftazidime",281729,41941,810,1.93128442335662
