Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ceftriaxone

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Ceftriaxone",3.5444965149749,22.6089431809305,44.6599204059036,58.0128920638464,99.5798319327731
2018,"URINE","Escherichia coli","Ceftriaxone",6.23565103312561,21.7954753283749,41.8863013321545,54.8846561113352,75.8620689655172
2019,"URINE","Escherichia coli","Ceftriaxone",6.1983774457619,22.3592345572543,45.5777433365178,51.0397295831396,71.9376790830946
2020,"URINE","Escherichia coli","Ceftriaxone",5.90249887457962,22.6740060658426,45.1905141409825,54.6433905899925,76.7955801104972


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ceftriaxone",13558,2477,832,33.589018974566
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ceftriaxone",22331,6649,2008,30.2000300797112
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ceftriaxone",27055,8314,2252,27.0868414722155
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ceftriaxone",29681,6870,1959,28.5152838427948
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Escherichia coli","Ceftriaxone",209,93,50,53.763440860215
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Escherichia coli","Ceftriaxone",412,240,131,54.5833333333333
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Escherichia coli","Ceftriaxone",488,324,177,54.6296296296296
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Escherichia coli","Ceftriaxone",261,195,111,56.9230769230769
"CHE","Switzerland","European Region",2017,"URINE","Escherichia coli","Ceftriaxone",97650,9755,548,5.61763198359816
"CHE","Switzerland","European Region",2018,"URINE","Escherichia coli","Ceftriaxone",118114,97568,6084,6.23565103312561
"CHE","Switzerland","European Region",2019,"URINE","Escherichia coli","Ceftriaxone",139721,108964,6754,6.1983774457619
"CHE","Switzerland","European Region",2020,"URINE","Escherichia coli","Ceftriaxone",153286,113291,6687,5.90249887457962
"FIN","Finland","European Region",2017,"URINE","Escherichia coli","Ceftriaxone",281729,42037,1490,3.5444965149749
