Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Ciprofloxacin",8.67748279252704,22.1811180267555,39.0321650952801,60.8153638814016,76.1288546255507
2018,"URINE","Escherichia coli","Ciprofloxacin",8.41390331602078,22.926712710167,38.8895859124423,54.8091057599716,92.8867924528302
2019,"URINE","Escherichia coli","Ciprofloxacin",8.43477710500222,22.1625870543898,40.666860543038,57.9671564483161,74.1986303572003
2020,"URINE","Escherichia coli","Ciprofloxacin",8.05555555555556,22.6960679332388,37.5262329942565,50.3287305707037,70.8465707344422


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ciprofloxacin",13558,9554,3189,33.3786895541135
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ciprofloxacin",22331,15063,5788,38.4252804886145
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ciprofloxacin",27055,17801,7521,42.2504353687995
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ciprofloxacin",29681,20156,6429,31.89620956539
"ARG","Argentina","Region of the Americas",2017,"URINE","Escherichia coli","Ciprofloxacin",39782,33330,6911,20.7350735073507
"ARG","Argentina","Region of the Americas",2018,"URINE","Escherichia coli","Ciprofloxacin",44553,37341,8334,22.3186309954206
"ARG","Argentina","Region of the Americas",2019,"URINE","Escherichia coli","Ciprofloxacin",35830,30897,7132,23.0831472311228
"ARG","Argentina","Region of the Americas",2020,"URINE","Escherichia coli","Ciprofloxacin",29170,24708,5883,23.8101019912579
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Escherichia coli","Ciprofloxacin",209,106,61,57.5471698113208
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Escherichia coli","Ciprofloxacin",412,272,170,62.5
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Escherichia coli","Ciprofloxacin",488,376,236,62.7659574468085
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Escherichia coli","Ciprofloxacin",261,199,117,58.7939698492462
"CHE","Switzerland","European Region",2017,"URINE","Escherichia coli","Ciprofloxacin",97650,10019,1419,14.1630901287554
"CHE","Switzerland","European Region",2018,"URINE","Escherichia coli","Ciprofloxacin",118114,97819,13684,13.9891023216349
"CHE","Switzerland","European Region",2019,"URINE","Escherichia coli","Ciprofloxacin",139721,115023,14728,12.8043956426106
"CHE","Switzerland","European Region",2020,"URINE","Escherichia coli","Ciprofloxacin",153286,126546,15556,12.2927631059062
"FIN","Finland","European Region",2017,"URINE","Escherichia coli","Ciprofloxacin",281729,117972,10237,8.67748279252704
"FIN","Finland","European Region",2018,"URINE","Escherichia coli","Ciprofloxacin",159588,87605,7371,8.41390331602078
"FIN","Finland","European Region",2019,"URINE","Escherichia coli","Ciprofloxacin",159676,94798,7996,8.43477710500222
"FIN","Finland","European Region",2020,"URINE","Escherichia coli","Ciprofloxacin",146108,93235,7594,8.14500992116694
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2017,"URINE","Escherichia coli","Ciprofloxacin",810851,767049,80686,10.5190150824784
