Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Co-trimoxazole

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Co-trimoxazole",0,32.9615388031539,39.4919892833814,59.9382710636843,79.8165137614679
2018,"URINE","Escherichia coli","Co-trimoxazole",19.5361911454673,32.8612306491514,39.1218427656735,54.3748242152998,67.2727272727273
2019,"URINE","Escherichia coli","Co-trimoxazole",20.3561717659163,23.3593671097711,39.3414364369153,56.0000690036054,68.5487000388048
2020,"URINE","Escherichia coli","Co-trimoxazole",19.727047146402,22.7250034452087,36.341566562981,55.4171875380127,67.4101969872538


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Co-trimoxazole",13558,9950,4101,41.21608040201
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Co-trimoxazole",22331,15056,6207,41.2260892667375
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Co-trimoxazole",27055,17843,6939,38.8892002465953
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Co-trimoxazole",29681,20193,7260,35.9530530381816
"ARG","Argentina","Region of the Americas",2017,"URINE","Escherichia coli","Co-trimoxazole",39782,32942,13132,39.864003399915
"ARG","Argentina","Region of the Americas",2018,"URINE","Escherichia coli","Co-trimoxazole",44553,36896,14919,40.4352775368604
"ARG","Argentina","Region of the Americas",2019,"URINE","Escherichia coli","Co-trimoxazole",35830,30338,12419,40.9354604786077
"ARG","Argentina","Region of the Americas",2020,"URINE","Escherichia coli","Co-trimoxazole",29170,24877,9561,38.4330908067693
"CHE","Switzerland","European Region",2017,"URINE","Escherichia coli","Co-trimoxazole",97650,10134,2193,21.6400236826525
"CHE","Switzerland","European Region",2018,"URINE","Escherichia coli","Co-trimoxazole",118114,101910,22744,22.3177313315671
"CHE","Switzerland","European Region",2019,"URINE","Escherichia coli","Co-trimoxazole",139721,118418,26130,22.0659021432552
"CHE","Switzerland","European Region",2020,"URINE","Escherichia coli","Co-trimoxazole",153286,130377,27237,20.890954692929
"FIN","Finland","European Region",2017,"URINE","Escherichia coli","Co-trimoxazole",281729,45323,6855,15.1247710875273
