Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ertapenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Ertapenem",0.0137211855104281,0.415870486358857,0.818289185085203,2.21378807400306,28.4598214285714
2018,"URINE","Escherichia coli","Ertapenem",0.0553978256353438,0.298774289251457,1.64383561643836,3.91643787844511,33.5112324686608
2019,"URINE","Escherichia coli","Ertapenem",0.0551392619821858,0.243086832466798,0.895080946450809,2.07233881698547,21.1773255813953
2020,"URINE","Escherichia coli","Ertapenem",0.0798605103086609,0.252699622324309,1.24215887211974,5.75195510613847,34.6938775510204


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ertapenem",13558,4476,35,0.781948168007149
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ertapenem",22331,8035,135,1.68014934660859
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ertapenem",27055,12848,115,0.895080946450809
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ertapenem",29681,16101,200,1.24215887211974
"CHE","Switzerland","European Region",2017,"URINE","Escherichia coli","Ertapenem",97650,7288,1,0.0137211855104281
"CHE","Switzerland","European Region",2018,"URINE","Escherichia coli","Ertapenem",118114,72205,40,0.0553978256353438
"CHE","Switzerland","European Region",2019,"URINE","Escherichia coli","Ertapenem",139721,70730,39,0.0551392619821858
"CHE","Switzerland","European Region",2020,"URINE","Escherichia coli","Ertapenem",153286,75131,60,0.0798605103086609
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2017,"URINE","Escherichia coli","Ertapenem",810851,328193,490,0.149302392189961
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"URINE","Escherichia coli","Ertapenem",863293,351561,455,0.12942277442606
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2019,"URINE","Escherichia coli","Ertapenem",880701,439827,630,0.143238136812883
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2020,"URINE","Escherichia coli","Ertapenem",651538,339155,557,0.164231693473486
"IND","India","South-East Asia Region",2017,"URINE","Escherichia coli","Ertapenem",10034,2688,765,28.4598214285714
"IND","India","South-East Asia Region",2018,"URINE","Escherichia coli","Ertapenem",25203,8057,2700,33.5112324686608
"IND","India","South-East Asia Region",2019,"URINE","Escherichia coli","Ertapenem",47746,13760,2914,21.1773255813953
"IND","India","South-East Asia Region",2020,"URINE","Escherichia coli","Ertapenem",18235,6439,1491,23.15576952943
"KOR","Republic of Korea","Western Pacific Region",2017,"URINE","Escherichia coli","Ertapenem",9130,7874,4,0.0508001016002032
"KOR","Republic of Korea","Western Pacific Region",2018,"URINE","Escherichia coli","Ertapenem",8554,7255,15,0.206753962784287
"KOR","Republic of Korea","Western Pacific Region",2019,"URINE","Escherichia coli","Ertapenem",8565,7270,7,0.0962861072902338
