Filters
Region filter: All
Infection syndrome filter: Urinary tract
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ampicillin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"URINE","Escherichia coli","Ampicillin",26.8446943078004,63.9272421659263,69.9565217391304,83.5074626865672,100
2018,"URINE","Escherichia coli","Ampicillin",30.616967643291,64.2314990512334,72.0128542214432,83.1858407079646,100
2019,"URINE","Escherichia coli","Ampicillin",30.6028179475871,64.7959861775651,71.7331499312242,84.4977590297917,100
2020,"URINE","Escherichia coli","Ampicillin",29.2063678782888,61.9958787165146,70.7933740191805,83.4159779614325,98.5074626865672


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2017,"URINE","Escherichia coli","Ampicillin",13558,8982,5869,65.3417947005121
"ARE","United Arab Emirates","Eastern Mediterranean Region",2018,"URINE","Escherichia coli","Ampicillin",22331,15083,9677,64.1583239408606
"ARE","United Arab Emirates","Eastern Mediterranean Region",2019,"URINE","Escherichia coli","Ampicillin",27055,17771,11021,62.0167688931405
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"URINE","Escherichia coli","Ampicillin",29681,19840,11754,59.2439516129032
"ARG","Argentina","Region of the Americas",2017,"URINE","Escherichia coli","Ampicillin",39782,33316,21298,63.9272421659263
"ARG","Argentina","Region of the Americas",2018,"URINE","Escherichia coli","Ampicillin",44553,36890,23695,64.2314990512334
"ARG","Argentina","Region of the Americas",2019,"URINE","Escherichia coli","Ampicillin",35830,30096,19501,64.7959861775651
"ARG","Argentina","Region of the Americas",2020,"URINE","Escherichia coli","Ampicillin",29170,23779,14742,61.9958787165146
"BGD","Bangladesh","South-East Asia Region",2017,"URINE","Escherichia coli","Ampicillin",209,91,74,81.3186813186813
"BGD","Bangladesh","South-East Asia Region",2018,"URINE","Escherichia coli","Ampicillin",412,226,188,83.1858407079646
"BGD","Bangladesh","South-East Asia Region",2019,"URINE","Escherichia coli","Ampicillin",488,319,274,85.8934169278997
"BGD","Bangladesh","South-East Asia Region",2020,"URINE","Escherichia coli","Ampicillin",261,170,147,86.4705882352941
"FIN","Finland","European Region",2017,"URINE","Escherichia coli","Ampicillin",281729,1423,382,26.8446943078004
"FIN","Finland","European Region",2018,"URINE","Escherichia coli","Ampicillin",159588,91,91,100
"FIN","Finland","European Region",2019,"URINE","Escherichia coli","Ampicillin",159676,123,123,100
"FIN","Finland","European Region",2020,"URINE","Escherichia coli","Ampicillin",146108,134,132,98.5074626865672
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2017,"URINE","Escherichia coli","Ampicillin",810851,700045,361004,51.5686848702583
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2018,"URINE","Escherichia coli","Ampicillin",863293,751551,380972,50.6914367754151
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2019,"URINE","Escherichia coli","Ampicillin",880701,711243,344948,48.4993173922274
